69,127,128,128,128,127,127,128,128,127,127,128,127,144,128,69,164,127,127,128,128,128,127,109,128,128,128,127,128,127,128,128,128,128,128,127,223,127,127,128,128,128,127,89,128,127,128,128,127,128,127,127,128,128,32,127,127,127,128,128,243,127,128,128
253,205,85,50,11,145,70,245,205,205,11,70,31,50,70,74,212,225,31,185,90,50,11,50,225,50,50,245,225,253,90,50,17,31,70,110,188,245,31,50,185,205,90,245,205,246,225,90,11,31,51,185,250,110,11,11,227,11,11,31,205,11,205,50
225,31,11,245,22,245,245,245,245,225,245,205,225,225,245,11,11,11,11,245,11,11,11,31,245,11,31,31,11,31,245,11,245,11,11,225,11,245,225,245,205,225,245,245,51,245,11,31,11,11,245,31,11,245,31,225,245,31,11,245,245,205,31,245
1,1,35,235,53,21,1,21,1,235,1,21,21,235,215,215,235,1,1,61,253,41,21,235,235,235,21,21,21,224,235,21,1,1,1,1,41,21,1,21,1,235,235,1,21,81,21,235,1,235,41,21,61,41,41,21,41,1,1,235,1,215,1,195
80,100,128,80,60,41,155,75,60,195,195,127,100,128,40,40,215,215,20,127,254,100,155,60,40,80,175,254,60,40,234,234,14,40,215,40,120,127,224,195,175,40,80,127,127,110,215,128,16,175,175,195,40,20,60,120,127,20,40,80,175,215,195,40
29,225,245,231,11,11,51,245,51,245,225,245,245,245,245,225,51,245,5,51,225,11,225,245,245,11,245,51,51,245,245,225,245,185,225,11,208,11,245,245,225,11,40,31,205,31,11,225,11,225,11,245,230,31,11,11,225,51,245,225,31,51,11,11
15,205,11,225,205,245,11,30,245,30,245,11,245,253,245,2,205,11,16,225,11,245,245,245,245,11,30,30,245,11,30,245,11,225,245,30,225,225,50,11,245,245,245,205,225,225,11,11,225,245,29,245,11,11,205,245,11,225,11,50,245,245,11,11
70,145,128,145,128,128,90,90,145,245,50,245,127,50,50,225,225,110,50,185,245,30,205,205,128,50,127,70,90,127,11,185,11,128,90,185,225,48,225,11,205,165,128,225,225,205,225,11,11,225,46,245,128,127,128,50,205,205,245,245,30,145,128,70
11,225,31,11,11,245,245,31,225,11,225,245,205,209,225,225,11,11,245,11,225,4,225,245,205,225,245,245,50,11,225,31,11,245,11,225,31,225,245,245,35,245,11,225,11,11,31,225,31,245,245,31,11,11,245,50,225,234,205,31,11,11,11,245
1,235,20,1,215,235,235,235,215,235,20,1,215,1,1,40,40,215,235,235,1,235,20,1,20,36,235,1,235,235,20,235,1,20,20,235,1,235,235,20,20,1,1,20,215,235,20,1,20,1,40,235,20,20,235,1,215,8,40,235,1,20,40,235
222,165,245,185,241,245,111,245,71,205,205,31,185,20,185,127,58,128,245,225,29,51,245,31,31,6,11,225,185,245,225,185,245,245,205,127,152,51,205,205,245,11,49,205,11,225,185,31,229,205,11,128,156,111,185,225,45,48,245,51,165,245,205,71
252,156,41,176,45,236,81,21,41,21,136,156,196,244,156,128,101,127,81,61,216,1,176,1,236,196,81,21,127,136,236,21,115,128,1,216,216,43,61,41,156,236,234,216,216,91,81,196,1,176,41,41,81,176,29,81,128,41,21,81,61,216,216,1
254,254,20,254,20,235,20,254,254,235,254,254,20,20,254,254,20,254,15,20,20,20,20,254,235,254,235,20,254,254,235,235,241,254,254,254,235,254,235,254,254,235,254,254,235,10,235,254,254,20,254,20,254,254,20,254,235,254,235,254,254,254,20,254
183,128,127,80,175,127,254,127,175,175,234,195,20,29,100,218,20,155,127,128,233,27,100,195,80,100,127,128,127,127,195,128,120,100,127,100,127,80,80,214,17,128,127,195,127,127,155,40,127,80,155,234,128,127,145,40,53,68,155,135,135,175,135,120
127,128,128,150,129,128,10,127,128,128,127,164,127,127,184,128,128,30,244,204,128,128,128,128,128,25,164,50,127,164,204,224,10,128,204,50,128,127,204,127,127,244,128,128,128,176,127,128,128,30,127,69,15,109,128,127,128,128,30,89,30,127,128,224
235,235,215,21,21,195,1,235,21,195,235,21,1,215,21,21,235,21,40,21,235,21,235,235,40,40,1,21,40,21,40,40,1,1,21,40,1,1,197,21,195,21,235,21,40,235,235,1,235,1,1,1,21,215,40,1,1,60,60,235,1,21,1,1
245,31,11,11,18,11,225,245,11,245,225,245,11,11,225,11,225,245,225,11,31,11,245,225,245,11,11,31,225,11,245,225,225,205,245,11,31,11,225,11,225,11,225,31,11,11,11,11,31,11,245,11,31,11,11,225,11,31,11,225,11,245,11,245
21,235,235,7,1,1,21,21,21,235,21,41,21,235,215,1,21,215,21,41,19,235,21,1,21,36,21,235,21,21,1,235,1,1,235,41,1,1,235,21,1,1,21,21,1,21,1,235,1,215,41,235,21,21,215,21,1,8,41,215,235,1,21,235
229,225,11,30,11,205,11,11,245,225,11,245,30,225,11,22,225,30,50,225,50,11,245,245,245,11,30,11,30,30,11,11,11,245,50,245,225,245,11,30,225,225,245,245,245,225,245,30,245,11,10,245,30,11,225,245,245,11,245,245,225,225,245,11
10,10,50,10,10,10,10,27,205,245,10,245,10,30,10,225,245,10,10,245,245,10,30,10,225,225,10,225,245,10,10,10,245,245,245,50,50,10,245,30,10,225,10,10,225,216,10,245,251,10,10,10,225,50,205,245,207,245,225,10,245,10,30,245
46,70,128,224,180,224,244,128,90,127,128,110,244,224,10,58,30,224,184,244,224,244,224,204,90,249,184,90,206,224,10,30,50,70,50,165,204,128,244,145,244,127,204,184,10,201,10,204,184,224,244,30,204,184,127,224,85,242,50,30,50,244,145,10
41,1,121,196,1,21,196,41,121,127,176,101,128,59,136,176,21,235,206,101,1,127,61,196,61,136,21,127,235,176,235,81,35,136,1,215,21,160,1,196,128,81,61,235,101,111,235,41,61,176,127,215,61,21,67,136,127,196,127,61,127,156,127,21
138,128,239,31,245,185,245,185,185,165,51,205,205,31,51,180,11,51,16,71,31,165,185,51,245,76,127,185,50,60,225,127,51,11,245,71,71,31,225,51,11,11,165,225,31,225,31,51,205,185,71,205,111,71,165,127,155,33,31,71,31,185,71,51
234,127,214,128,60,40,254,174,174,254,234,234,20,60,234,120,20,127,15,128,60,80,40,194,214,239,40,80,194,194,80,214,40,254,154,194,40,214,40,80,214,254,214,234,214,20,254,60,234,40,20,214,80,154,40,194,60,167,40,234,214,174,234,214
234,254,254,40,254,234,254,214,254,234,40,20,40,11,40,40,254,60,175,20,216,234,254,20,234,25,155,254,234,20,60,254,234,234,234,214,254,254,234,20,40,60,20,254,20,214,20,254,254,80,195,195,20,214,20,195,254,227,234,236,40,254,214,20
205,30,11,245,11,225,30,245,30,245,245,30,50,11,205,30,205,11,245,30,70,11,225,30,245,205,225,30,206,245,245,11,225,225,225,245,225,245,11,245,245,50,245,205,11,245,225,11,225,11,11,245,50,225,44,185,11,225,11,225,245,225,245,245
31,245,31,51,165,185,225,11,31,245,185,71,11,9,225,31,31,185,6,11,51,11,225,71,31,235,31,225,185,71,31,11,245,11,225,51,245,11,205,245,51,185,245,245,51,248,205,205,39,31,31,225,31,31,245,225,210,5,51,71,205,245,31,51
196,81,61,61,56,1,235,1,156,1,41,21,215,128,61,61,127,61,196,21,1,127,127,1,101,128,156,21,1,136,101,215,101,136,1,156,71,156,41,136,249,1,176,127,136,196,196,101,61,196,127,215,127,215,127,136,21,21,128,1,128,1,196,101
20,234,26,195,20,40,40,234,40,254,215,234,215,20,195,20,234,215,20,234,20,215,234,234,254,40,234,60,20,226,215,234,254,254,20,20,215,234,60,254,250,20,20,254,234,28,254,254,254,254,40,20,234,254,234,20,252,40,40,234,254,20,40,234
11,225,11,245,11,11,245,11,11,245,245,245,11,245,245,225,30,30,11,11,225,245,245,30,245,245,11,245,30,245,245,225,245,245,225,245,11,30,11,11,225,11,11,245,245,11,245,245,11,11,245,11,245,225,245,11,225,11,245,245,30,11,30,11
185,10,244,244,244,225,70,50,244,30,244,30,70,10,225,225,244,50,50,225,244,225,30,50,225,10,244,10,244,244,10,225,225,10,10,225,47,50,30,10,225,225,244,205,244,30,244,205,10,70,244,30,239,225,10,10,225,244,30,205,10,244,244,244
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,119,128,214,234,127,99,165,154,127,214,99,214,37,99,127,128,214,128,39,214,214,128,128,234,154,128,79,128,232,127,154,99,128,99,127,128,128,79,128,234,127,127,127,128,128,154,128,142,127,128,119,128,19,119,19,252,174,154,127,134,127,128,214
40,40,195,40,215,235,195,155,235,215,40,254,254,237,80,40,235,235,254,40,215,20,215,254,235,235,195,20,40,40,20,40,195,254,80,254,215,254,155,254,215,40,60,60,120,254,254,215,155,60,215,235,195,40,60,215,20,20,254,235,20,254,254,235
235,1,1,20,1,235,20,1,1,1,235,1,235,1,235,235,1,1,20,20,20,1,1,1,1,20,1,235,20,1,1,20,1,235,20,20,1,237,235,1,1,1,20,1,1,1,235,1,1,1,20,1,20,1,1,1,235,20,20,20,1,20,235,1
1,235,215,215,235,20,40,1,20,1,235,60,235,235,1,235,215,20,20,20,1,1,215,20,20,1,235,1,20,215,1,40,20,40,215,20,235,215,20,215,20,60,253,195,215,223,1,1,215,20,1,235,235,215,20,235,252,235,1,1,40,60,235,20
225,245,245,245,11,11,11,11,11,30,11,30,11,225,11,245,245,11,11,245,11,30,11,30,11,11,245,11,245,245,245,11,245,225,245,245,225,247,11,245,225,11,245,225,245,11,225,11,4,245,11,30,11,245,11,11,245,245,11,11,245,28,225,245
127,128,214,128,65,127,128,128,194,127,40,127,127,120,127,128,40,128,127,128,127,127,128,155,155,128,127,128,128,20,127,40,127,128,127,60,128,127,127,127,72,127,127,127,128,128,128,127,150,127,127,127,128,127,214,234,247,128,128,188,128,127,100,127
235,40,215,215,9,215,1,215,20,215,20,40,20,215,20,1,20,1,215,20,233,20,20,1,215,20,235,1,40,215,1,20,235,20,215,1,4,1,215,40,5,20,1,235,1,235,40,235,20,215,40,1,26,1,235,20,43,1,20,197,1,40,20,215
224,224,244,30,244,10,10,30,10,10,10,10,244,10,10,10,244,224,30,224,244,224,244,10,10,30,244,224,10,244,244,10,244,30,10,30,30,10,244,244,10,10,10,244,244,10,10,10,10,30,10,244,244,30,210,30,30,30,10,224,244,30,244,10
2,2,2,2,2,127,128,2,127,127,2,2,128,2,2,128,2,128,128,128,128,128,128,2,127,128,127,128,128,128,127,127,127,2,2,127,127,2,127,2,2,127,127,127,127,105,127,127,127,128,11,128,2,2,128,127,127,2,127,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,50,224,244,224,30,224,244,244,10,30,10,244,30,30,30,27,244,244,10,224,30,50,244,10,10,244,30,10,224,10,244,244,244,224,10,30,224,224,244,244,50,244,244,10,244,244,10,244,10,10,244,10,244,10,244,30,10,30,226,10,10,244,224
